OG,Gene,Species
N2.HOG0000187,TRINITY_DN53185_c0_g1,Sarsia
N2.HOG0000188,TRINITY_DN7058_c1_g1,Sarsia
N2.HOG0000189,TRINITY_DN12795_c0_g1,Sarsia
N2.HOG0000190,TRINITY_DN15622_c0_g3,Sarsia
N2.HOG0000191,TRINITY_DN110624_c0_g1,Sarsia
N2.HOG0000201,TRINITY_DN30855_c0_g1,Sarsia
N2.HOG0000202,TRINITY_DN73917_c0_g1,Sarsia
N2.HOG0000212,TRINITY_DN95341_c0_g1,Sarsia
N2.HOG0000214,TRINITY_DN31372_c0_g1,Sarsia
N2.HOG0000216,TRINITY_DN5839_c0_g1,Sarsia
N2.HOG0000221,TRINITY_DN67398_c0_g1,Sarsia
N2.HOG0000222,TRINITY_DN78109_c0_g1,Sarsia
N2.HOG0000223,TRINITY_DN78333_c0_g1,Sarsia
N2.HOG0000240,TRINITY_DN9193_c0_g2,Sarsia
N2.HOG0000248,TRINITY_DN49551_c0_g1,Sarsia
N2.HOG0000253,TRINITY_DN4002_c0_g2,Sarsia
N2.HOG0000254,TRINITY_DN22780_c0_g3,Sarsia
N2.HOG0000256,TRINITY_DN9628_c0_g1,Sarsia
N2.HOG0000278,TRINITY_DN2819_c0_g1,Sarsia
N2.HOG0000280,TRINITY_DN8730_c0_g1,Sarsia
N2.HOG0000295,TRINITY_DN3979_c3_g1,Sarsia
N2.HOG0000297,TRINITY_DN6916_c0_g1,Sarsia
N2.HOG0000299,TRINITY_DN880_c0_g1,Sarsia
N2.HOG0000300,TRINITY_DN7922_c0_g1,Sarsia
N2.HOG0000301,TRINITY_DN3931_c0_g1,Sarsia
N2.HOG0000303,TRINITY_DN6421_c0_g1,Sarsia
N2.HOG0000305,TRINITY_DN95334_c0_g1,Sarsia
N2.HOG0000312,TRINITY_DN35206_c0_g1,Sarsia
N2.HOG0000317,TRINITY_DN104276_c0_g1,Sarsia
N2.HOG0000319,TRINITY_DN79011_c0_g1,Sarsia
N2.HOG0000326,TRINITY_DN5699_c0_g1,Sarsia
N2.HOG0000327,TRINITY_DN221_c2_g1,Sarsia
N2.HOG0000361,TRINITY_DN102746_c0_g1,Sarsia
N2.HOG0000362,TRINITY_DN53218_c0_g2,Sarsia
N2.HOG0000363,TRINITY_DN35096_c1_g1,Sarsia
N2.HOG0000364,TRINITY_DN49270_c0_g1,Sarsia
N2.HOG0000368,TRINITY_DN7348_c0_g1,Sarsia
N2.HOG0000379,TRINITY_DN11666_c0_g1,Sarsia
N2.HOG0000381,TRINITY_DN36140_c0_g1,Sarsia
N2.HOG0000382,TRINITY_DN74111_c0_g1,Sarsia
N2.HOG0000385,TRINITY_DN82104_c0_g1,Sarsia
N2.HOG0000399,TRINITY_DN18641_c0_g1,Sarsia
N2.HOG0000406,TRINITY_DN13352_c0_g2,Sarsia
N2.HOG0000412,TRINITY_DN85053_c0_g1,Sarsia
N2.HOG0000413,TRINITY_DN53943_c0_g1,Sarsia
N2.HOG0000415,TRINITY_DN33067_c0_g1,Sarsia
N2.HOG0000417,TRINITY_DN103554_c0_g1,Sarsia
N2.HOG0000419,TRINITY_DN44240_c0_g4,Sarsia
N2.HOG0000425,TRINITY_DN12895_c1_g1,Sarsia
N2.HOG0000426,TRINITY_DN50802_c0_g1,Sarsia
N2.HOG0000429,TRINITY_DN29949_c0_g1,Sarsia
N2.HOG0000430,TRINITY_DN57341_c0_g2,Sarsia
N2.HOG0000442,TRINITY_DN1549_c0_g1,Sarsia
N2.HOG0000444,TRINITY_DN24332_c0_g1,Sarsia
N2.HOG0000447,TRINITY_DN20507_c0_g1,Sarsia
N2.HOG0000454,TRINITY_DN702_c0_g2,Sarsia
N2.HOG0000455,TRINITY_DN28505_c0_g1,Sarsia
N2.HOG0000457,TRINITY_DN103536_c0_g1,Sarsia
N2.HOG0000458,TRINITY_DN22631_c0_g1,Sarsia
N2.HOG0000468,TRINITY_DN22013_c0_g1,Sarsia
N2.HOG0000483,TRINITY_DN39426_c0_g1,Sarsia
N2.HOG0000493,TRINITY_DN3585_c0_g1,Sarsia
N2.HOG0000500,TRINITY_DN47296_c0_g1,Sarsia
N2.HOG0000505,TRINITY_DN20931_c0_g1,Sarsia
N2.HOG0000511,TRINITY_DN75238_c0_g1,Sarsia
N2.HOG0000512,TRINITY_DN31070_c0_g1,Sarsia
N2.HOG0000513,TRINITY_DN112909_c0_g1,Sarsia
N2.HOG0000514,TRINITY_DN13395_c2_g2,Sarsia
N2.HOG0000515,TRINITY_DN34064_c0_g1,Sarsia
N2.HOG0000519,TRINITY_DN36369_c0_g1,Sarsia
N2.HOG0000523,TRINITY_DN11682_c0_g2,Sarsia
N2.HOG0000525,TRINITY_DN88603_c0_g1,Sarsia
N2.HOG0000531,TRINITY_DN110666_c0_g1,Sarsia
N2.HOG0000533,TRINITY_DN8223_c0_g2,Sarsia
N2.HOG0000537,TRINITY_DN16384_c0_g1,Sarsia
N2.HOG0000538,TRINITY_DN26509_c0_g1,Sarsia
N2.HOG0000539,TRINITY_DN508_c0_g1,Sarsia
N2.HOG0000542,TRINITY_DN17630_c0_g1,Sarsia
N2.HOG0000550,TRINITY_DN58823_c0_g1,Sarsia
N2.HOG0000552,TRINITY_DN46018_c0_g1,Sarsia
N2.HOG0000555,TRINITY_DN34925_c0_g1,Sarsia
N2.HOG0000556,TRINITY_DN31070_c2_g1,Sarsia
N2.HOG0000557,TRINITY_DN22196_c0_g1,Sarsia
N2.HOG0000561,TRINITY_DN29027_c0_g2,Sarsia
N2.HOG0000578,TRINITY_DN6042_c0_g1,Sarsia
N2.HOG0000590,TRINITY_DN60578_c0_g1,Sarsia
N2.HOG0000592,TRINITY_DN5970_c0_g1,Sarsia
N2.HOG0000596,TRINITY_DN124_c0_g4,Sarsia
N2.HOG0000605,TRINITY_DN13878_c0_g1,Sarsia
N2.HOG0000606,TRINITY_DN37411_c0_g1,Sarsia
N2.HOG0000607,TRINITY_DN4521_c0_g1,Sarsia
N2.HOG0000608,TRINITY_DN11340_c1_g1,Sarsia
N2.HOG0000618,TRINITY_DN59582_c0_g1,Sarsia
N2.HOG0000623,TRINITY_DN76743_c0_g1,Sarsia
N2.HOG0000650,TRINITY_DN10092_c0_g1,Sarsia
N2.HOG0000656,TRINITY_DN29114_c0_g2,Sarsia
N2.HOG0000667,TRINITY_DN14421_c0_g2,Sarsia
N2.HOG0000671,TRINITY_DN20613_c0_g1,Sarsia
N2.HOG0000680,TRINITY_DN110920_c0_g1,Sarsia
N2.HOG0000681,TRINITY_DN103886_c0_g1,Sarsia
N2.HOG0000682,TRINITY_DN78824_c0_g1,Sarsia
N2.HOG0000685,TRINITY_DN20308_c0_g1,Sarsia
N2.HOG0000686,TRINITY_DN30884_c0_g1,Sarsia
N2.HOG0000688,TRINITY_DN30446_c0_g1,Sarsia
N2.HOG0000695,TRINITY_DN6224_c0_g1,Sarsia
N2.HOG0000706,TRINITY_DN13178_c0_g2,Sarsia
N2.HOG0000707,TRINITY_DN2333_c0_g1,Sarsia
N2.HOG0000711,TRINITY_DN6788_c0_g1,Sarsia
N2.HOG0000715,TRINITY_DN85249_c0_g1,Sarsia
N2.HOG0000716,TRINITY_DN4002_c0_g3,Sarsia
N2.HOG0000722,TRINITY_DN42346_c0_g1,Sarsia
N2.HOG0000723,TRINITY_DN41436_c0_g1,Sarsia
N2.HOG0000731,TRINITY_DN111736_c0_g1,Sarsia
N2.HOG0000735,TRINITY_DN72319_c1_g1,Sarsia
N2.HOG0000736,TRINITY_DN54920_c0_g1,Sarsia
N2.HOG0000741,TRINITY_DN75340_c0_g1,Sarsia
N2.HOG0000744,TRINITY_DN87438_c0_g1,Sarsia
N2.HOG0000745,TRINITY_DN84828_c0_g1,Sarsia
N2.HOG0000746,TRINITY_DN25577_c0_g1,Sarsia
N2.HOG0000748,TRINITY_DN23281_c0_g1,Sarsia
N2.HOG0000771,TRINITY_DN1707_c3_g2,Sarsia
N2.HOG0000772,TRINITY_DN22402_c0_g2,Sarsia
N2.HOG0000777,TRINITY_DN75303_c0_g1,Sarsia
N2.HOG0000778,TRINITY_DN3695_c0_g1,Sarsia
N2.HOG0000781,TRINITY_DN10002_c0_g2,Sarsia
N2.HOG0000784,TRINITY_DN16985_c0_g1,Sarsia
N2.HOG0000786,TRINITY_DN750_c0_g1,Sarsia
N2.HOG0000788,TRINITY_DN26465_c1_g1,Sarsia
N2.HOG0000790,TRINITY_DN1549_c0_g2,Sarsia
N2.HOG0000791,TRINITY_DN53691_c0_g1,Sarsia
N2.HOG0000797,TRINITY_DN1287_c0_g1,Sarsia
N2.HOG0000798,TRINITY_DN137_c0_g2,Sarsia
N2.HOG0000802,TRINITY_DN18339_c0_g2,Sarsia
N2.HOG0000806,TRINITY_DN21126_c0_g2,Sarsia
N2.HOG0000810,TRINITY_DN23529_c0_g1,Sarsia
N2.HOG0000814,TRINITY_DN60531_c0_g1,Sarsia
N2.HOG0000818,TRINITY_DN56735_c0_g1,Sarsia
N2.HOG0000825,TRINITY_DN13295_c0_g1,Sarsia
N2.HOG0000826,TRINITY_DN38101_c0_g2,Sarsia
N2.HOG0000833,TRINITY_DN48966_c0_g1,Sarsia
N2.HOG0000836,TRINITY_DN5415_c0_g2,Sarsia
N2.HOG0000840,TRINITY_DN2374_c0_g1,Sarsia
N2.HOG0000841,TRINITY_DN44340_c0_g1,Sarsia
N2.HOG0000842,TRINITY_DN17841_c0_g1,Sarsia
N2.HOG0000845,TRINITY_DN5978_c0_g2,Sarsia
N2.HOG0000846,TRINITY_DN64130_c0_g1,Sarsia
N2.HOG0000849,TRINITY_DN22870_c0_g1,Sarsia
N2.HOG0000851,TRINITY_DN42045_c0_g2,Sarsia
N2.HOG0000856,TRINITY_DN27451_c0_g1,Sarsia
N2.HOG0000857,TRINITY_DN36691_c0_g1,Sarsia
N2.HOG0000859,TRINITY_DN421_c0_g1,Sarsia
N2.HOG0000864,TRINITY_DN152_c5_g2,Sarsia
N2.HOG0000866,TRINITY_DN23390_c0_g1,Sarsia
N2.HOG0000874,TRINITY_DN112409_c0_g1,Sarsia
N2.HOG0000885,TRINITY_DN9850_c0_g1,Sarsia
N2.HOG0000887,TRINITY_DN16332_c2_g1,Sarsia
N2.HOG0000888,TRINITY_DN9305_c0_g2,Sarsia
N2.HOG0000890,TRINITY_DN13946_c0_g1,Sarsia
N2.HOG0000891,TRINITY_DN1649_c0_g1,Sarsia
N2.HOG0000892,TRINITY_DN13147_c0_g1,Sarsia
N2.HOG0000895,TRINITY_DN11519_c0_g2,Sarsia
N2.HOG0000896,TRINITY_DN46657_c0_g1,Sarsia
N2.HOG0000898,TRINITY_DN19742_c0_g1,Sarsia
N2.HOG0000901,TRINITY_DN9597_c0_g2,Sarsia
N2.HOG0000905,TRINITY_DN3913_c2_g1,Sarsia
N2.HOG0000906,TRINITY_DN43007_c0_g1,Sarsia
N2.HOG0000907,TRINITY_DN8798_c0_g2,Sarsia
N2.HOG0000908,TRINITY_DN26038_c5_g1,Sarsia
N2.HOG0000909,TRINITY_DN58457_c1_g1,Sarsia
N2.HOG0000910,TRINITY_DN6515_c0_g2,Sarsia
N2.HOG0000911,TRINITY_DN23938_c1_g2,Sarsia
N2.HOG0000912,TRINITY_DN14403_c0_g1,Sarsia
N2.HOG0000916,TRINITY_DN17562_c0_g8,Sarsia
N2.HOG0000917,TRINITY_DN8191_c1_g1,Sarsia
N2.HOG0000919,TRINITY_DN895_c0_g4,Sarsia
N2.HOG0000920,TRINITY_DN132_c0_g1,Sarsia
N2.HOG0000922,TRINITY_DN17152_c0_g1,Sarsia
N2.HOG0000931,TRINITY_DN42479_c0_g1,Sarsia
N2.HOG0000943,TRINITY_DN59129_c0_g1,Sarsia
N2.HOG0000946,TRINITY_DN9479_c0_g2,Sarsia
N2.HOG0000947,TRINITY_DN5342_c0_g1,Sarsia
N2.HOG0000953,TRINITY_DN8322_c0_g1,Sarsia
N2.HOG0000954,TRINITY_DN75650_c0_g1,Sarsia
N2.HOG0000955,TRINITY_DN24955_c0_g1,Sarsia
N2.HOG0000956,TRINITY_DN20794_c0_g2,Sarsia
N2.HOG0000957,TRINITY_DN24178_c0_g1,Sarsia
N2.HOG0000966,TRINITY_DN5105_c1_g1,Sarsia
N2.HOG0000968,TRINITY_DN12516_c0_g1,Sarsia
N2.HOG0000975,TRINITY_DN7774_c1_g1,Sarsia
N2.HOG0000980,TRINITY_DN14731_c0_g2,Sarsia
N2.HOG0000983,TRINITY_DN48821_c0_g1,Sarsia
N2.HOG0000987,TRINITY_DN27518_c0_g1,Sarsia
N2.HOG0000990,TRINITY_DN9524_c1_g1,Sarsia
N2.HOG0000992,TRINITY_DN15850_c0_g3,Sarsia
N2.HOG0000993,TRINITY_DN25547_c0_g1,Sarsia
N2.HOG0000997,TRINITY_DN2741_c0_g3,Sarsia
N2.HOG0000998,TRINITY_DN52120_c0_g1,Sarsia
N2.HOG0001004,TRINITY_DN5372_c0_g1,Sarsia
N2.HOG0001006,TRINITY_DN28911_c0_g1,Sarsia
N2.HOG0001007,TRINITY_DN3188_c1_g1,Sarsia
N2.HOG0001008,TRINITY_DN72706_c0_g1,Sarsia
N2.HOG0001013,TRINITY_DN605_c2_g1,Sarsia
N2.HOG0001017,TRINITY_DN112116_c0_g1,Sarsia
N2.HOG0001027,TRINITY_DN12359_c0_g1,Sarsia
N2.HOG0001043,TRINITY_DN95156_c0_g1,Sarsia
N2.HOG0001044,TRINITY_DN39775_c0_g3,Sarsia
N2.HOG0001046,TRINITY_DN5233_c0_g1,Sarsia
N2.HOG0001050,TRINITY_DN86050_c0_g1,Sarsia
N2.HOG0001051,TRINITY_DN2560_c0_g1,Sarsia
N2.HOG0001055,TRINITY_DN149_c0_g1,Sarsia
N2.HOG0001067,TRINITY_DN11534_c0_g1,Sarsia
N2.HOG0001068,TRINITY_DN113409_c0_g1,Sarsia
N2.HOG0001074,TRINITY_DN61702_c0_g1,Sarsia
N2.HOG0001075,TRINITY_DN36928_c0_g2,Sarsia
N2.HOG0001076,TRINITY_DN38420_c1_g1,Sarsia
N2.HOG0001077,TRINITY_DN60481_c0_g1,Sarsia
N2.HOG0001078,TRINITY_DN11534_c0_g2,Sarsia
N2.HOG0001090,TRINITY_DN1299_c0_g1,Sarsia
N2.HOG0001115,TRINITY_DN47677_c0_g1,Sarsia
N2.HOG0001116,TRINITY_DN18818_c0_g2,Sarsia
N2.HOG0001117,TRINITY_DN89315_c0_g1,Sarsia
N2.HOG0001120,TRINITY_DN13455_c0_g2,Sarsia
N2.HOG0001122,TRINITY_DN23597_c1_g1,Sarsia
N2.HOG0001141,TRINITY_DN94601_c0_g1,Sarsia
N2.HOG0001142,TRINITY_DN13149_c0_g3,Sarsia
N2.HOG0001143,TRINITY_DN1087_c0_g1,Sarsia
N2.HOG0001152,TRINITY_DN20708_c0_g1,Sarsia
N2.HOG0001154,TRINITY_DN13172_c0_g1,Sarsia
N2.HOG0001165,TRINITY_DN30786_c0_g2,Sarsia
N2.HOG0001166,TRINITY_DN23136_c1_g1,Sarsia
N2.HOG0001167,TRINITY_DN76702_c0_g1,Sarsia
N2.HOG0001169,TRINITY_DN104162_c0_g1,Sarsia
N2.HOG0001170,TRINITY_DN54137_c0_g1,Sarsia
N2.HOG0001173,TRINITY_DN16692_c0_g1,Sarsia
N2.HOG0001188,TRINITY_DN62053_c0_g1,Sarsia
N2.HOG0001190,TRINITY_DN40021_c0_g2,Sarsia
N2.HOG0001191,TRINITY_DN6092_c0_g3,Sarsia
N2.HOG0001192,TRINITY_DN6117_c0_g2,Sarsia
N2.HOG0001194,TRINITY_DN15513_c0_g1,Sarsia
N2.HOG0001198,TRINITY_DN15855_c0_g1,Sarsia
N2.HOG0001199,TRINITY_DN17775_c0_g1,Sarsia
N2.HOG0001201,TRINITY_DN2155_c0_g1,Sarsia
N2.HOG0001207,TRINITY_DN967_c0_g1,Sarsia
N2.HOG0001210,TRINITY_DN20688_c1_g1,Sarsia
N2.HOG0001211,TRINITY_DN53439_c0_g1,Sarsia
N2.HOG0001212,TRINITY_DN16466_c0_g1,Sarsia
N2.HOG0001220,TRINITY_DN14677_c0_g1,Sarsia
N2.HOG0001226,TRINITY_DN11191_c0_g2,Sarsia
N2.HOG0001227,TRINITY_DN55501_c0_g1,Sarsia
N2.HOG0001236,TRINITY_DN21818_c1_g1,Sarsia
N2.HOG0001240,TRINITY_DN22351_c0_g2,Sarsia
N2.HOG0001242,TRINITY_DN39518_c0_g2,Sarsia
N2.HOG0001245,TRINITY_DN5956_c0_g1,Sarsia
N2.HOG0001247,TRINITY_DN28085_c0_g1,Sarsia
N2.HOG0001251,TRINITY_DN17473_c0_g1,Sarsia
N2.HOG0001257,TRINITY_DN97670_c0_g1,Sarsia
N2.HOG0001262,TRINITY_DN12259_c0_g1,Sarsia
N2.HOG0001263,TRINITY_DN111034_c0_g1,Sarsia
N2.HOG0001270,TRINITY_DN7565_c0_g3,Sarsia
N2.HOG0001273,TRINITY_DN3181_c0_g1,Sarsia
N2.HOG0001274,TRINITY_DN30191_c0_g1,Sarsia
N2.HOG0001282,TRINITY_DN23560_c0_g1,Sarsia
N2.HOG0001285,TRINITY_DN39794_c0_g2,Sarsia
N2.HOG0001286,TRINITY_DN56_c2_g1,Sarsia
N2.HOG0001287,TRINITY_DN1991_c3_g1,Sarsia
N2.HOG0001289,TRINITY_DN110945_c0_g1,Sarsia
N2.HOG0001292,TRINITY_DN111088_c0_g1,Sarsia
N2.HOG0001293,TRINITY_DN7252_c0_g1,Sarsia
N2.HOG0001294,TRINITY_DN37235_c0_g1,Sarsia
N2.HOG0001295,TRINITY_DN9814_c1_g2,Sarsia
N2.HOG0001300,TRINITY_DN12580_c0_g1,Sarsia
N2.HOG0001304,TRINITY_DN5292_c0_g1,Sarsia
N2.HOG0001308,TRINITY_DN4773_c0_g1,Sarsia
N2.HOG0001314,TRINITY_DN42757_c0_g1,Sarsia
N2.HOG0001320,TRINITY_DN12972_c0_g2,Sarsia
N2.HOG0001325,TRINITY_DN14750_c0_g1,Sarsia
N2.HOG0001326,TRINITY_DN24957_c0_g1,Sarsia
N2.HOG0001332,TRINITY_DN5634_c0_g2,Sarsia
N2.HOG0001334,TRINITY_DN17562_c0_g9,Sarsia
N2.HOG0001347,TRINITY_DN52825_c0_g1,Sarsia
N2.HOG0001348,TRINITY_DN6003_c0_g1,Sarsia
N2.HOG0001352,TRINITY_DN96369_c0_g1,Sarsia
N2.HOG0001354,TRINITY_DN54241_c0_g1,Sarsia
N2.HOG0001355,TRINITY_DN18911_c0_g1,Sarsia
N2.HOG0001358,TRINITY_DN39329_c0_g1,Sarsia
N2.HOG0001367,TRINITY_DN48439_c0_g2,Sarsia
N2.HOG0001369,TRINITY_DN9285_c0_g1,Sarsia
N2.HOG0001370,TRINITY_DN8386_c0_g1,Sarsia
N2.HOG0001371,TRINITY_DN28591_c0_g1,Sarsia
N2.HOG0001373,TRINITY_DN4096_c0_g2,Sarsia
N2.HOG0001380,TRINITY_DN7474_c0_g4,Sarsia
N2.HOG0001385,TRINITY_DN5274_c0_g1,Sarsia
N2.HOG0001386,TRINITY_DN24499_c0_g1,Sarsia
N2.HOG0001387,TRINITY_DN9142_c0_g1,Sarsia
N2.HOG0001388,TRINITY_DN11490_c0_g1,Sarsia
N2.HOG0001390,TRINITY_DN10012_c0_g1,Sarsia
N2.HOG0001391,TRINITY_DN10313_c0_g1,Sarsia
N2.HOG0001397,TRINITY_DN102247_c0_g1,Sarsia
N2.HOG0001401,TRINITY_DN18587_c0_g1,Sarsia
N2.HOG0001403,TRINITY_DN87267_c0_g1,Sarsia
N2.HOG0001406,TRINITY_DN12586_c0_g1,Sarsia
N2.HOG0001409,TRINITY_DN16712_c0_g1,Sarsia
N2.HOG0001413,TRINITY_DN9423_c0_g1,Sarsia
N2.HOG0001415,TRINITY_DN9399_c0_g1,Sarsia
N2.HOG0001416,TRINITY_DN64566_c0_g1,Sarsia
N2.HOG0001424,TRINITY_DN12852_c1_g1,Sarsia
N2.HOG0001425,TRINITY_DN8754_c0_g2,Sarsia
N2.HOG0001426,TRINITY_DN9715_c0_g1,Sarsia
N2.HOG0001427,TRINITY_DN44204_c0_g1,Sarsia
N2.HOG0001433,TRINITY_DN18374_c0_g1,Sarsia
N2.HOG0001435,TRINITY_DN25626_c0_g1,Sarsia
N2.HOG0001441,TRINITY_DN13757_c0_g1,Sarsia
N2.HOG0001442,TRINITY_DN3680_c0_g1,Sarsia
N2.HOG0001456,TRINITY_DN13101_c0_g1,Sarsia
N2.HOG0001460,TRINITY_DN2604_c0_g1,Sarsia
N2.HOG0001463,TRINITY_DN7640_c0_g1,Sarsia
N2.HOG0001467,TRINITY_DN3014_c1_g1,Sarsia
N2.HOG0001469,TRINITY_DN18835_c0_g1,Sarsia
N2.HOG0001470,TRINITY_DN97089_c0_g1,Sarsia
N2.HOG0001475,TRINITY_DN78315_c0_g1,Sarsia
N2.HOG0001477,TRINITY_DN381_c0_g1,Sarsia
N2.HOG0001486,TRINITY_DN34704_c0_g1,Sarsia
N2.HOG0001496,TRINITY_DN10343_c0_g1,Sarsia
N2.HOG0001500,TRINITY_DN11337_c0_g1,Sarsia
N2.HOG0001506,TRINITY_DN8616_c0_g1,Sarsia
N2.HOG0001507,TRINITY_DN52773_c0_g2,Sarsia
N2.HOG0001508,TRINITY_DN45551_c0_g1,Sarsia
N2.HOG0001514,TRINITY_DN38992_c0_g1,Sarsia
N2.HOG0001515,TRINITY_DN17206_c0_g1,Sarsia
N2.HOG0001516,TRINITY_DN4665_c0_g1,Sarsia
N2.HOG0001517,TRINITY_DN5039_c0_g3,Sarsia
N2.HOG0001518,TRINITY_DN71004_c0_g1,Sarsia
N2.HOG0001519,TRINITY_DN30366_c0_g1,Sarsia
N2.HOG0001523,TRINITY_DN44144_c0_g1,Sarsia
N2.HOG0001529,TRINITY_DN16755_c0_g2,Sarsia
N2.HOG0001533,TRINITY_DN14963_c0_g1,Sarsia
N2.HOG0001540,TRINITY_DN49680_c0_g1,Sarsia
N2.HOG0001569,TRINITY_DN7502_c0_g1,Sarsia
N2.HOG0001575,TRINITY_DN11080_c0_g1,Sarsia
N2.HOG0001576,TRINITY_DN9558_c0_g1,Sarsia
N2.HOG0001577,TRINITY_DN13372_c0_g1,Sarsia
N2.HOG0001578,TRINITY_DN110648_c0_g1,Sarsia
N2.HOG0001580,TRINITY_DN212_c0_g1,Sarsia
N2.HOG0001582,TRINITY_DN8098_c0_g1,Sarsia
N2.HOG0001583,TRINITY_DN39364_c0_g1,Sarsia
N2.HOG0001584,TRINITY_DN24614_c0_g1,Sarsia
N2.HOG0001585,TRINITY_DN12210_c0_g1,Sarsia
N2.HOG0001593,TRINITY_DN23563_c0_g1,Sarsia
N2.HOG0001594,TRINITY_DN70463_c0_g1,Sarsia
N2.HOG0001598,TRINITY_DN10276_c0_g1,Sarsia
N2.HOG0001600,TRINITY_DN16091_c0_g1,Sarsia
N2.HOG0001601,TRINITY_DN31701_c0_g1,Sarsia
N2.HOG0001602,TRINITY_DN4944_c0_g1,Sarsia
N2.HOG0001612,TRINITY_DN250_c0_g5,Sarsia
N2.HOG0001613,TRINITY_DN6337_c0_g1,Sarsia
N2.HOG0001614,TRINITY_DN46370_c0_g1,Sarsia
N2.HOG0001628,TRINITY_DN28041_c0_g1,Sarsia
N2.HOG0001637,TRINITY_DN8396_c0_g1,Sarsia
N2.HOG0001645,TRINITY_DN43082_c0_g1,Sarsia
N2.HOG0001648,TRINITY_DN21524_c0_g1,Sarsia
N2.HOG0001653,TRINITY_DN13202_c0_g1,Sarsia
N2.HOG0001655,TRINITY_DN6150_c0_g1,Sarsia
N2.HOG0001656,TRINITY_DN78159_c0_g1,Sarsia
N2.HOG0001657,TRINITY_DN22132_c0_g1,Sarsia
N2.HOG0001660,TRINITY_DN53745_c0_g1,Sarsia
N2.HOG0001661,TRINITY_DN7135_c0_g1,Sarsia
N2.HOG0001675,TRINITY_DN12651_c0_g1,Sarsia
N2.HOG0001676,TRINITY_DN6568_c0_g1,Sarsia
N2.HOG0001680,TRINITY_DN7482_c0_g1,Sarsia
N2.HOG0001685,TRINITY_DN1187_c1_g4,Sarsia
N2.HOG0001687,TRINITY_DN5907_c0_g1,Sarsia
N2.HOG0001688,TRINITY_DN5364_c0_g1,Sarsia
N2.HOG0001691,TRINITY_DN14955_c0_g2,Sarsia
N2.HOG0001692,TRINITY_DN17704_c0_g1,Sarsia
N2.HOG0001696,TRINITY_DN44511_c0_g1,Sarsia
N2.HOG0001697,TRINITY_DN17741_c0_g1,Sarsia
N2.HOG0001699,TRINITY_DN40071_c0_g1,Sarsia
N2.HOG0001700,TRINITY_DN34485_c0_g1,Sarsia
N2.HOG0001705,TRINITY_DN28080_c0_g1,Sarsia
N2.HOG0001706,TRINITY_DN88426_c0_g1,Sarsia
N2.HOG0001708,TRINITY_DN49166_c0_g1,Sarsia
N2.HOG0001711,TRINITY_DN6810_c1_g1,Sarsia
N2.HOG0001721,TRINITY_DN5859_c0_g2,Sarsia
N2.HOG0001728,TRINITY_DN64215_c0_g1,Sarsia
N2.HOG0001740,TRINITY_DN10622_c0_g1,Sarsia
N2.HOG0001743,TRINITY_DN1915_c0_g2,Sarsia
N2.HOG0001752,TRINITY_DN25_c0_g2,Sarsia
N2.HOG0001754,TRINITY_DN13663_c0_g1,Sarsia
N2.HOG0001756,TRINITY_DN85146_c0_g1,Sarsia
N2.HOG0001757,TRINITY_DN9096_c0_g1,Sarsia
N2.HOG0001759,TRINITY_DN33952_c0_g1,Sarsia
N2.HOG0001762,TRINITY_DN13585_c0_g1,Sarsia
N2.HOG0001774,TRINITY_DN16833_c0_g1,Sarsia
N2.HOG0001778,TRINITY_DN84855_c0_g1,Sarsia
N2.HOG0001780,TRINITY_DN24171_c0_g2,Sarsia
N2.HOG0001783,TRINITY_DN30554_c0_g1,Sarsia
N2.HOG0001793,TRINITY_DN19984_c0_g1,Sarsia
N2.HOG0001794,TRINITY_DN11397_c1_g1,Sarsia
N2.HOG0001795,TRINITY_DN90199_c0_g1,Sarsia
N2.HOG0001797,TRINITY_DN53151_c0_g1,Sarsia
N2.HOG0001802,TRINITY_DN37405_c1_g2,Sarsia
N2.HOG0001803,TRINITY_DN9867_c0_g3,Sarsia
N2.HOG0001805,TRINITY_DN96068_c0_g1,Sarsia
N2.HOG0001807,TRINITY_DN2279_c1_g3,Sarsia
N2.HOG0001811,TRINITY_DN26954_c0_g1,Sarsia
N2.HOG0001812,TRINITY_DN6748_c0_g2,Sarsia
N2.HOG0001814,TRINITY_DN682_c0_g1,Sarsia
N2.HOG0001816,TRINITY_DN33659_c0_g1,Sarsia
N2.HOG0001818,TRINITY_DN3552_c1_g1,Sarsia
N2.HOG0001820,TRINITY_DN13635_c1_g1,Sarsia
N2.HOG0001821,TRINITY_DN4777_c0_g1,Sarsia
N2.HOG0001823,TRINITY_DN35309_c0_g1,Sarsia
N2.HOG0001824,TRINITY_DN139_c0_g2,Sarsia
N2.HOG0001835,TRINITY_DN96272_c0_g1,Sarsia
N2.HOG0001839,TRINITY_DN11059_c0_g1,Sarsia
N2.HOG0001840,TRINITY_DN18714_c0_g1,Sarsia
N2.HOG0001842,TRINITY_DN64339_c0_g1,Sarsia
N2.HOG0001846,TRINITY_DN3472_c1_g1,Sarsia
N2.HOG0001857,TRINITY_DN11656_c3_g1,Sarsia
N2.HOG0001858,TRINITY_DN46412_c0_g1,Sarsia
N2.HOG0001860,TRINITY_DN1790_c0_g4,Sarsia
N2.HOG0001861,TRINITY_DN1055_c0_g1,Sarsia
N2.HOG0001864,TRINITY_DN758_c0_g2,Sarsia
N2.HOG0001869,TRINITY_DN6142_c0_g1,Sarsia
