# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-a" "results/reference/Trinity_20210112_longestORFperGene.fasta.eggnog.gtf" "-o" "results/counts/counts_matrix.txt" "-t" "exon" "-g" "gene_id" "-G" "results/reference/Trinity_20210112_longestORFperGene.fasta" "-T" "20" "results/star/mapping/SA01/Aligned.out.sam" "results/star/mapping/SA02/Aligned.out.sam" "results/star/mapping/SA03/Aligned.out.sam" "results/star/mapping/SA04/Aligned.out.sam" "results/star/mapping/SA05/Aligned.out.sam" "results/star/mapping/SA06/Aligned.out.sam" 
Geneid	Chr	Start	End	Strand	Length	results/star/mapping/SA01/Aligned.out.sam	results/star/mapping/SA02/Aligned.out.sam	results/star/mapping/SA03/Aligned.out.sam	results/star/mapping/SA04/Aligned.out.sam	results/star/mapping/SA05/Aligned.out.sam	results/star/mapping/SA06/Aligned.out.sam
TRINITY_DN15844_c0_g2	TRINITY_DN15844_c0_g2_i2	1	422	-	422	46	5	0	58	1	0
TRINITY_DN15844_c0_g3	TRINITY_DN15844_c0_g3_i1	1	737	-	737	26	7	2	72	3	0
TRINITY_DN15884_c2_g1	TRINITY_DN15884_c2_g1_i1	1	1413	-	1413	0	0	2	0	0	0
TRINITY_DN15808_c0_g1	TRINITY_DN15808_c0_g1_i1	1	396	-	396	7	4	7	0	0	1
TRINITY_DN15808_c1_g1	TRINITY_DN15808_c1_g1_i7	1	1397	-	1397	37	78	100	27	52	93
TRINITY_DN15866_c0_g1	TRINITY_DN15866_c0_g1_i2	1	480	-	480	0	0	1	3	11	4
TRINITY_DN15866_c0_g2	TRINITY_DN15866_c0_g2_i1	1	591	-	591	15	25	26	20	4	47
TRINITY_DN15866_c0_g3	TRINITY_DN15866_c0_g3_i1	1	366	-	366	7	6	5	7	2	9
TRINITY_DN15830_c0_g1	TRINITY_DN15830_c0_g1_i6	1	1770	-	1770	458	57	20	397	41	6
TRINITY_DN15809_c0_g1	TRINITY_DN15809_c0_g1_i5	1	3768	-	3768	137	99	51	91	26	7
TRINITY_DN15851_c0_g1	TRINITY_DN15851_c0_g1_i9	1	1035	-	1035	82	78	70	26	47	32
TRINITY_DN15895_c0_g1	TRINITY_DN15895_c0_g1_i1	1	1651	-	1651	32	16	15	25	2	3
TRINITY_DN15826_c0_g1	TRINITY_DN15826_c0_g1_i2	1	2755	-	2755	156	103	226	246	175	281
TRINITY_DN15892_c0_g1	TRINITY_DN15892_c0_g1_i1	1	4472	-	4472	173	295	137	93	63	61
TRINITY_DN15904_c0_g1	TRINITY_DN15904_c0_g1_i4	1	2767	-	2767	38	44	120	25	39	38
TRINITY_DN15817_c0_g1	TRINITY_DN15817_c0_g1_i5	1	2450	-	2450	1479	1330	1192	873	557	519
TRINITY_DN15846_c0_g1	TRINITY_DN15846_c0_g1_i2	1	1552	-	1552	772	471	1001	672	299	537
TRINITY_DN15879_c2_g3	TRINITY_DN15879_c2_g3_i2	1	1302	-	1302	39	24	25	11	12	11
TRINITY_DN15831_c0_g1	TRINITY_DN15831_c0_g1_i1	1	3826	-	3826	275	195	1772	123	38	561
TRINITY_DN15841_c0_g1	TRINITY_DN15841_c0_g1_i1	1	371	-	371	0	15	0	2	14	0
TRINITY_DN15823_c0_g1	TRINITY_DN15823_c0_g1_i1	1	402	-	402	0	1	0	0	1	0
TRINITY_DN15860_c0_g1	TRINITY_DN15860_c0_g1_i1	1	347	-	347	19	24	23	16	26	37
TRINITY_DN15867_c0_g1	TRINITY_DN15867_c0_g1_i3	1	741	-	741	13	24	25	43	11	50
TRINITY_DN15838_c0_g1	TRINITY_DN15838_c0_g1_i1	1	2885	-	2885	204	288	1144	264	262	989
TRINITY_DN15827_c0_g1	TRINITY_DN15827_c0_g1_i5	1	501	-	501	52	7	53223	12	0	45231
TRINITY_DN15885_c1_g2	TRINITY_DN15885_c1_g2_i2	1	2394	-	2394	469	499	756	211	166	454
TRINITY_DN15865_c0_g2	TRINITY_DN15865_c0_g2_i1	1	596	-	596	14	6	7	12	6	14
TRINITY_DN15897_c0_g1	TRINITY_DN15897_c0_g1_i1	1	2208	-	2208	1342	2452	4645	1727	2999	4355
TRINITY_DN15870_c0_g1	TRINITY_DN15870_c0_g1_i2	1	1358	-	1358	80	128	627	123	110	533
TRINITY_DN15833_c0_g1	TRINITY_DN15833_c0_g1_i2	1	519	-	519	12	4	1	4	1	10
TRINITY_DN15973_c0_g1	TRINITY_DN15973_c0_g1_i2	1	2636	-	2636	834	587	589	495	347	556
TRINITY_DN15999_c0_g1	TRINITY_DN15999_c0_g1_i1	1	702	-	702	157	206	529	357	350	373
TRINITY_DN15923_c0_g1	TRINITY_DN15923_c0_g1_i3	1	3915	-	3915	1143	1488	2303	722	663	1060
TRINITY_DN15969_c0_g1	TRINITY_DN15969_c0_g1_i2	1	2879	-	2879	236	208	275	223	85	195
TRINITY_DN15978_c0_g1	TRINITY_DN15978_c0_g1_i4	1	880	-	880	221	231	471	449	476	547
TRINITY_DN15915_c0_g1	TRINITY_DN15915_c0_g1_i1	1	997	-	997	106	33	19	22	5	1
TRINITY_DN16001_c0_g1	TRINITY_DN16001_c0_g1_i1	1	2733	-	2733	151	99	71	388	20	8
TRINITY_DN15964_c0_g1	TRINITY_DN15964_c0_g1_i2	1	3235	-	3235	729	880	2478	843	680	1753
TRINITY_DN15964_c0_g2	TRINITY_DN15964_c0_g2_i1	1	3430	-	3430	870	1155	1782	657	1143	1323
TRINITY_DN16000_c0_g1	TRINITY_DN16000_c0_g1_i2	1	791	-	791	13	15	25	44	5	0
TRINITY_DN15916_c0_g3	TRINITY_DN15916_c0_g3_i1	1	454	-	454	20	18	18	4	2	3
TRINITY_DN15916_c2_g1	TRINITY_DN15916_c2_g1_i1	1	465	-	465	0	2	6	2	5	8
TRINITY_DN15910_c0_g1	TRINITY_DN15910_c0_g1_i4	1	524	-	524	18	10	12	10	5	13
TRINITY_DN15959_c0_g1	TRINITY_DN15959_c0_g1_i3	1	449	-	449	18	12	17	7	0	3
TRINITY_DN15990_c0_g1	TRINITY_DN15990_c0_g1_i2	1	2907	-	2907	211	89	804	315	52	777
TRINITY_DN15957_c0_g1	TRINITY_DN15957_c0_g1_i1	1	1003	-	1003	13	2	37	4	1	17
TRINITY_DN15983_c0_g1	TRINITY_DN15983_c0_g1_i2	1	1311	-	1311	756	1000	1956	492	575	804
TRINITY_DN15931_c0_g1	TRINITY_DN15931_c0_g1_i1	1	1862	-	1862	13	166	27	3	65	3
TRINITY_DN15931_c0_g2	TRINITY_DN15931_c0_g2_i1	1	408	-	408	4	4	1	4	3	0
TRINITY_DN16005_c0_g1	TRINITY_DN16005_c0_g1_i3	1	515	-	515	16	12	8	23	8	9
TRINITY_DN16005_c0_g2	TRINITY_DN16005_c0_g2_i5	1	905	-	905	39	15	18	54	23	24
TRINITY_DN15945_c0_g2	TRINITY_DN15945_c0_g2_i6	1	2889	-	2889	51	55	48	29	5	23
TRINITY_DN15927_c0_g1	TRINITY_DN15927_c0_g1_i2	1	2310	-	2310	70120	7611	28933	851	725	6010
TRINITY_DN15906_c0_g1	TRINITY_DN15906_c0_g1_i1	1	527	-	527	11	12	9	1	2	2
TRINITY_DN15922_c0_g1	TRINITY_DN15922_c0_g1_i1	1	422	-	422	3	2	3	1	0	4
TRINITY_DN15984_c0_g1	TRINITY_DN15984_c0_g1_i1	1	645	-	645	17	42	26	35	5	27
TRINITY_DN15984_c0_g2	TRINITY_DN15984_c0_g2_i1	1	563	-	563	15	13	42	8	2	8
TRINITY_DN15975_c0_g1	TRINITY_DN15975_c0_g1_i7	1	2280	-	2280	617	592	623	386	318	408
TRINITY_DN15942_c0_g1	TRINITY_DN15942_c0_g1_i1	1	386	-	386	0	42	0	7	115	0
TRINITY_DN15919_c0_g1	TRINITY_DN15919_c0_g1_i3	1	4985	-	4985	236	186	225	390	161	239
TRINITY_DN15919_c0_g2	TRINITY_DN15919_c0_g2_i4	1	2749	-	2749	426	300	1408	492	355	1414
TRINITY_DN15919_c0_g3	TRINITY_DN15919_c0_g3_i1	1	1046	-	1046	162	194	406	308	277	440
TRINITY_DN15994_c0_g1	TRINITY_DN15994_c0_g1_i5	1	666	-	666	20	47	41	8	5	8
TRINITY_DN15986_c0_g1	TRINITY_DN15986_c0_g1_i1	1	1832	-	1832	212	176	299	206	193	324
TRINITY_DN15929_c0_g1	TRINITY_DN15929_c0_g1_i1	1	1470	-	1470	0	6	6	0	1	0
TRINITY_DN16003_c0_g1	TRINITY_DN16003_c0_g1_i1	1	1697	-	1697	31	52	58	15	10	17
TRINITY_DN15940_c0_g1	TRINITY_DN15940_c0_g1_i1	1	1559	-	1559	0	0	196	1	0	148
TRINITY_DN15924_c0_g1	TRINITY_DN15924_c0_g1_i2	1	1575	-	1575	14	4	1	20	3	1
TRINITY_DN15941_c2_g1	TRINITY_DN15941_c2_g1_i9	1	3203	-	3203	2	6	234	64	4	22
TRINITY_DN15991_c0_g1	TRINITY_DN15991_c0_g1_i1	1	2290	-	2290	1073	953	1140	541	272	602
TRINITY_DN15950_c0_g2	TRINITY_DN15950_c0_g2_i1	1	821	-	821	442	249	144	103	303	191
TRINITY_DN15938_c0_g1	TRINITY_DN15938_c0_g1_i2	1	320	-	320	12	3	14	2	0	4
TRINITY_DN15998_c0_g1	TRINITY_DN15998_c0_g1_i5	1	747	-	747	2	4	1	39	3	1
TRINITY_DN16019_c0_g1	TRINITY_DN16019_c0_g1_i2	1	325	-	325	28	31	33	1	1	0
TRINITY_DN16009_c0_g1	TRINITY_DN16009_c0_g1_i2	1	561	-	561	153	165	138	45	18	65
TRINITY_DN16064_c0_g1	TRINITY_DN16064_c0_g1_i2	1	1679	-	1679	16	111	19	2	8	1
TRINITY_DN16041_c0_g1	TRINITY_DN16041_c0_g1_i1	1	497	-	497	20	28	76	13	16	30
TRINITY_DN16007_c0_g1	TRINITY_DN16007_c0_g1_i1	1	1612	-	1612	697	484	69	1996	573	46
TRINITY_DN16085_c0_g2	TRINITY_DN16085_c0_g2_i11	1	1451	-	1451	657	790	998	814	666	655
TRINITY_DN16033_c0_g1	TRINITY_DN16033_c0_g1_i2	1	1874	-	1874	808	280	373	175	73	89
TRINITY_DN16033_c0_g2	TRINITY_DN16033_c0_g2_i3	1	1931	-	1931	589	226	239	363	75	128
TRINITY_DN16100_c0_g1	TRINITY_DN16100_c0_g1_i1	1	1397	-	1397	12	12	71	1	221	135
TRINITY_DN16047_c0_g1	TRINITY_DN16047_c0_g1_i1	1	1156	-	1156	54	90	50	50	39	89
TRINITY_DN16047_c0_g2	TRINITY_DN16047_c0_g2_i1	1	708	-	708	100	92	123	42	52	103
TRINITY_DN16032_c2_g3	TRINITY_DN16032_c2_g3_i1	1	2286	-	2286	270	359	1248	338	607	1353
TRINITY_DN16089_c0_g1	TRINITY_DN16089_c0_g1_i1	1	1657	-	1657	2366	112	14	3844	105	12
TRINITY_DN16054_c0_g1	TRINITY_DN16054_c0_g1_i1	1	594	-	594	44	33	8	42	35	35
TRINITY_DN16086_c0_g1	TRINITY_DN16086_c0_g1_i2	1	3697	-	3697	2601	1922	2607	1737	1415	1625
TRINITY_DN16086_c1_g1	TRINITY_DN16086_c1_g1_i1	1	988	-	988	364	690	2070	687	994	2369
TRINITY_DN16082_c0_g1	TRINITY_DN16082_c0_g1_i2	1	2498	-	2498	39	29	214	6	7	35
TRINITY_DN16022_c0_g1	TRINITY_DN16022_c0_g1_i7	1	2451	-	2451	388	261	327	1763	1065	1185
TRINITY_DN16022_c0_g3	TRINITY_DN16022_c0_g3_i1	1	1351	-	1351	7	3	2	6	7	5
TRINITY_DN16022_c0_g4	TRINITY_DN16022_c0_g4_i2	1	1569	-	1569	126	106	129	223	128	251
TRINITY_DN16022_c1_g1	TRINITY_DN16022_c1_g1_i1	1	340	-	340	1	0	0	0	0	0
TRINITY_DN16080_c0_g1	TRINITY_DN16080_c0_g1_i2	1	4420	-	4420	143	110	130	264	224	193
TRINITY_DN16034_c0_g2	TRINITY_DN16034_c0_g2_i1	1	1154	-	1154	103	126	362	181	250	449
TRINITY_DN16017_c0_g1	TRINITY_DN16017_c0_g1_i3	1	323	-	323	0	12	3	1	1	2
TRINITY_DN16050_c0_g1	TRINITY_DN16050_c0_g1_i1	1	343	-	343	91	49	12	90	35	28
TRINITY_DN16013_c0_g1	TRINITY_DN16013_c0_g1_i4	1	981	-	981	33	22	16	82	18	2
TRINITY_DN16023_c0_g1	TRINITY_DN16023_c0_g1_i3	1	1772	-	1772	20	24	23	62	104	60
TRINITY_DN16088_c0_g1	TRINITY_DN16088_c0_g1_i3	1	682	-	682	10	54	11	0	2	0
TRINITY_DN16043_c0_g1	TRINITY_DN16043_c0_g1_i1	1	1515	-	1515	32	43	61	88	90	128
TRINITY_DN16093_c0_g1	TRINITY_DN16093_c0_g1_i1	1	1240	-	1240	351	54	3	471	104	8
TRINITY_DN16057_c1_g1	TRINITY_DN16057_c1_g1_i1	1	1304	-	1304	164	29	16	46	18	1
TRINITY_DN16069_c0_g1	TRINITY_DN16069_c0_g1_i9	1	1289	-	1289	1371	868	927	966	447	280
TRINITY_DN16096_c0_g1	TRINITY_DN16096_c0_g1_i1	1	1256	-	1256	1724	1376	1987	2111	1674	1819
TRINITY_DN16051_c0_g1	TRINITY_DN16051_c0_g1_i1	1	392	-	392	0	6	0	5	101	4
TRINITY_DN16027_c0_g1	TRINITY_DN16027_c0_g1_i1	1	455	-	455	10	8	1	5	2	4
TRINITY_DN16091_c0_g1	TRINITY_DN16091_c0_g1_i3	1	2366	-	2366	1	22	95	2	2	24
TRINITY_DN16037_c0_g1	TRINITY_DN16037_c0_g1_i1	1	1696	-	1696	50	35	35	6	11	14
TRINITY_DN16095_c0_g2	TRINITY_DN16095_c0_g2_i1	1	1815	-	1815	191	113	61	174	99	93
TRINITY_DN16012_c0_g1	TRINITY_DN16012_c0_g1_i2	1	388	-	388	0	13	9	0	12	9
TRINITY_DN16099_c0_g1	TRINITY_DN16099_c0_g1_i2	1	349	-	349	31	9	5	19	2	1
TRINITY_DN16018_c0_g1	TRINITY_DN16018_c0_g1_i6	1	2975	-	2975	700	382	687	401	215	348
TRINITY_DN16018_c0_g2	TRINITY_DN16018_c0_g2_i1	1	1503	-	1503	52	46	59	7	13	21
TRINITY_DN16058_c0_g1	TRINITY_DN16058_c0_g1_i1	1	1249	-	1249	463	296	333	366	207	229
TRINITY_DN16071_c1_g1	TRINITY_DN16071_c1_g1_i3	1	1207	-	1207	119	80	37	182	72	58
TRINITY_DN16008_c0_g1	TRINITY_DN16008_c0_g1_i3	1	1716	-	1716	2697	121	605	2898	47	267
TRINITY_DN16083_c0_g1	TRINITY_DN16083_c0_g1_i1	1	672	-	672	206	23	248	270	11	66
TRINITY_DN16103_c0_g1	TRINITY_DN16103_c0_g1_i1	1	427	-	427	79	73	88	39	18	54
TRINITY_DN16073_c0_g1	TRINITY_DN16073_c0_g1_i1	1	709	-	709	1	5	9	28	47	51
TRINITY_DN16073_c1_g1	TRINITY_DN16073_c1_g1_i2	1	6361	-	6361	368	411	660	535	226	346
TRINITY_DN16036_c0_g1	TRINITY_DN16036_c0_g1_i8	1	453	-	453	14	2	11	13	6	3
TRINITY_DN16040_c0_g1	TRINITY_DN16040_c0_g1_i1	1	758	-	758	59	89	65	77	29	42
TRINITY_DN16040_c0_g4	TRINITY_DN16040_c0_g4_i2	1	630	-	630	66	51	39	24	29	27
TRINITY_DN16104_c0_g1	TRINITY_DN16104_c0_g1_i2	1	1621	-	1621	399	498	398	336	611	250
TRINITY_DN16061_c0_g1	TRINITY_DN16061_c0_g1_i1	1	1482	-	1482	5450	3315	4642	3318	2343	2478
TRINITY_DN16101_c0_g3	TRINITY_DN16101_c0_g3_i1	1	606	-	606	2	4	71	1	2	42
TRINITY_DN16065_c0_g1	TRINITY_DN16065_c0_g1_i1	1	1857	-	1857	314	913	245	239	468	75
TRINITY_DN16028_c0_g1	TRINITY_DN16028_c0_g1_i3	1	338	-	338	7	9	10	3	13	11
TRINITY_DN16063_c0_g1	TRINITY_DN16063_c0_g1_i3	1	1069	-	1069	6	23	22	24	57	3
TRINITY_DN16067_c0_g1	TRINITY_DN16067_c0_g1_i2	1	2830	-	2830	869	227	605	155	34	33
TRINITY_DN16070_c0_g1	TRINITY_DN16070_c0_g1_i1	1	1979	-	1979	0	62	7	2	144	9
TRINITY_DN16162_c0_g1	TRINITY_DN16162_c0_g1_i1	1	583	-	583	17	21	78	3	9	22
TRINITY_DN16138_c0_g1	TRINITY_DN16138_c0_g1_i1	1	1038	-	1038	2	4	2826	0	1	4259
TRINITY_DN16143_c0_g1	TRINITY_DN16143_c0_g1_i1	1	524	-	524	11	9	1	6	1	3
TRINITY_DN16183_c0_g1	TRINITY_DN16183_c0_g1_i4	1	2656	-	2656	38	136	418	84	65	118
TRINITY_DN16169_c0_g1	TRINITY_DN16169_c0_g1_i3	1	3127	-	3127	103	100	207	6	2	3
TRINITY_DN16122_c0_g2	TRINITY_DN16122_c0_g2_i1	1	1482	-	1482	90	368	0	177	160	0
TRINITY_DN16122_c1_g1	TRINITY_DN16122_c1_g1_i2	1	2330	-	2330	0	2	8	0	0	0
TRINITY_DN16137_c0_g1	TRINITY_DN16137_c0_g1_i1	1	956	-	956	0	124	55	2	60	27
TRINITY_DN16202_c0_g2	TRINITY_DN16202_c0_g2_i2	1	549	-	549	30	24	62	23	17	42
TRINITY_DN16202_c0_g1	TRINITY_DN16202_c0_g1_i2	1	603	-	603	85	69	177	80	64	127
TRINITY_DN16190_c0_g1	TRINITY_DN16190_c0_g1_i3	1	821	-	821	15	27	51	10	1	16
TRINITY_DN16180_c0_g1	TRINITY_DN16180_c0_g1_i2	1	438	-	438	5	36	80	11	14	31
TRINITY_DN16160_c0_g1	TRINITY_DN16160_c0_g1_i1	1	2099	-	2099	103	12	16	240	11	1
TRINITY_DN16149_c0_g1	TRINITY_DN16149_c0_g1_i4	1	399	-	399	27	26	15	31	10	25
TRINITY_DN16149_c0_g2	TRINITY_DN16149_c0_g2_i2	1	457	-	457	13	19	12	22	5	4
TRINITY_DN16119_c0_g1	TRINITY_DN16119_c0_g1_i1	1	819	-	819	0	0	68	10	1	86
TRINITY_DN16109_c0_g1	TRINITY_DN16109_c0_g1_i1	1	824	-	824	109	194	814	557	733	1333
TRINITY_DN16108_c0_g1	TRINITY_DN16108_c0_g1_i1	1	435	-	435	1	2	1	1	1	0
TRINITY_DN16108_c0_g4	TRINITY_DN16108_c0_g4_i1	1	842	-	842	9	217	22	3	3	1
TRINITY_DN16127_c0_g4	TRINITY_DN16127_c0_g4_i1	1	349	-	349	31	3	3	55	1	0
TRINITY_DN16127_c1_g2	TRINITY_DN16127_c1_g2_i4	1	945	-	945	9	11	4	21	7	7
TRINITY_DN16127_c2_g1	TRINITY_DN16127_c2_g1_i1	1	412	-	412	1	2	4	2	2	0
TRINITY_DN16110_c0_g1	TRINITY_DN16110_c0_g1_i1	1	694	-	694	0	3	11	2	0	6
TRINITY_DN16110_c0_g2	TRINITY_DN16110_c0_g2_i1	1	1256	-	1256	1	18	16	3	6	9
TRINITY_DN16110_c1_g1	TRINITY_DN16110_c1_g1_i1	1	1473	-	1473	15	3	38	4	0	5
TRINITY_DN16189_c0_g1	TRINITY_DN16189_c0_g1_i1	1	1282	-	1282	16	189	3	1	16	11
TRINITY_DN16159_c0_g1	TRINITY_DN16159_c0_g1_i3	1	845	-	845	4	25	0	0	4	0
TRINITY_DN16114_c0_g1	TRINITY_DN16114_c0_g1_i1	1	1744	-	1744	962	1425	2713	951	1361	1721
TRINITY_DN16178_c0_g1	TRINITY_DN16178_c0_g1_i1	1	686	-	686	1	3	0	1	1	0
TRINITY_DN16129_c1_g1	TRINITY_DN16129_c1_g1_i2	1	4511	-	4511	520	500	697	297	201	513
TRINITY_DN16151_c0_g1	TRINITY_DN16151_c0_g1_i1	1	857	-	857	1	32	34	20	23	2
TRINITY_DN16157_c0_g1	TRINITY_DN16157_c0_g1_i1	1	414	-	414	17	24	21	9	27	35
TRINITY_DN16117_c0_g1	TRINITY_DN16117_c0_g1_i1	1	3737	-	3737	38	50	231	41	17	252
TRINITY_DN16191_c0_g1	TRINITY_DN16191_c0_g1_i1	1	511	-	511	0	7	0	0	4	0
TRINITY_DN16177_c0_g1	TRINITY_DN16177_c0_g1_i3	1	662	-	662	7	5	2	0	0	1
TRINITY_DN16126_c0_g1	TRINITY_DN16126_c0_g1_i2	1	350	-	350	14	8	22	2	0	1
TRINITY_DN16126_c1_g1	TRINITY_DN16126_c1_g1_i1	1	511	-	511	10	7	24	7	2	15
TRINITY_DN16140_c1_g1	TRINITY_DN16140_c1_g1_i2	1	349	-	349	0	1	3	8	3	3
TRINITY_DN16115_c0_g1	TRINITY_DN16115_c0_g1_i2	1	1307	-	1307	80	65	37	185	148	179
TRINITY_DN16155_c0_g1	TRINITY_DN16155_c0_g1_i1	1	3018	-	3018	2636	2020	1944	1790	1042	1022
TRINITY_DN16146_c0_g1	TRINITY_DN16146_c0_g1_i1	1	993	-	993	7	5	262	4	0	69
TRINITY_DN16194_c0_g1	TRINITY_DN16194_c0_g1_i1	1	406	-	406	32	30	58	7	1	6
TRINITY_DN16248_c0_g1	TRINITY_DN16248_c0_g1_i3	1	864	-	864	15	11	8	4	1	2
TRINITY_DN16248_c0_g2	TRINITY_DN16248_c0_g2_i2	1	312	-	312	0	0	5	0	0	6
TRINITY_DN16212_c0_g1	TRINITY_DN16212_c0_g1_i2	1	747	-	747	6	8	8	10	13	5
TRINITY_DN16235_c0_g1	TRINITY_DN16235_c0_g1_i11	1	3749	-	3749	460	90	107	571	47	7
TRINITY_DN16207_c0_g1	TRINITY_DN16207_c0_g1_i1	1	518	-	518	53	23	2	64	0	0
TRINITY_DN16211_c0_g1	TRINITY_DN16211_c0_g1_i1	1	356	-	356	23	7	9	4	1	2
TRINITY_DN16257_c0_g1	TRINITY_DN16257_c0_g1_i3	1	3734	-	3734	3244	5049	3712	2315	4266	4037
TRINITY_DN16229_c0_g1	TRINITY_DN16229_c0_g1_i3	1	2511	-	2511	351	391	596	163	127	322
TRINITY_DN16259_c0_g1	TRINITY_DN16259_c0_g1_i7	1	1766	-	1766	46	24	18	27	11	19
TRINITY_DN16259_c0_g3	TRINITY_DN16259_c0_g3_i2	1	828	-	828	2	2	20	1	2	0
TRINITY_DN16239_c0_g1	TRINITY_DN16239_c0_g1_i6	1	1221	-	1221	53	33	87	15	5	34
TRINITY_DN16222_c0_g1	TRINITY_DN16222_c0_g1_i1	1	908	-	908	51	47	105	27	25	103
TRINITY_DN16208_c0_g2	TRINITY_DN16208_c0_g2_i2	1	798	-	798	8	8	4	5	5	5
TRINITY_DN16208_c1_g1	TRINITY_DN16208_c1_g1_i1	1	519	-	519	2	2	3	4	0	1
TRINITY_DN16299_c4_g1	TRINITY_DN16299_c4_g1_i1	1	505	-	505	2	1	12	0	0	1
TRINITY_DN16213_c0_g1	TRINITY_DN16213_c0_g1_i2	1	2162	-	2162	375	306	390	397	231	263
TRINITY_DN16244_c0_g2	TRINITY_DN16244_c0_g2_i8	1	1404	-	1404	815	224	83	1461	232	24
TRINITY_DN16225_c0_g1	TRINITY_DN16225_c0_g1_i1	1	533	-	533	37	33	31	26	18	35
TRINITY_DN16217_c0_g2	TRINITY_DN16217_c0_g2_i1	1	670	-	670	0	0	0	5	2	2
TRINITY_DN16278_c0_g1	TRINITY_DN16278_c0_g1_i1	1	336	-	336	27	10	29	4	4	4
TRINITY_DN16283_c0_g1	TRINITY_DN16283_c0_g1_i1	1	553	-	553	20	21	25	8	3	9
TRINITY_DN16254_c0_g1	TRINITY_DN16254_c0_g1_i5	1	1022	-	1022	98	27	22	4	6	10
TRINITY_DN16214_c0_g1	TRINITY_DN16214_c0_g1_i1	1	370	-	370	31	25	44	122	86	147
TRINITY_DN16256_c0_g1	TRINITY_DN16256_c0_g1_i9	1	1364	-	1364	39	38	25	7	20	13
TRINITY_DN16238_c0_g1	TRINITY_DN16238_c0_g1_i1	1	1290	-	1290	0	0	0	0	0	0
TRINITY_DN16224_c0_g1	TRINITY_DN16224_c0_g1_i17	1	1240	-	1240	19	10	18	46	13	79
TRINITY_DN16216_c0_g1	TRINITY_DN16216_c0_g1_i7	1	1822	-	1822	1628	2903	7199	1323	1730	4329
TRINITY_DN16233_c0_g1	TRINITY_DN16233_c0_g1_i1	1	558	-	558	0	19	1	0	2	0
TRINITY_DN16246_c0_g1	TRINITY_DN16246_c0_g1_i1	1	1753	-	1753	1	155	23	1	51	12
TRINITY_DN16210_c0_g1	TRINITY_DN16210_c0_g1_i1	1	678	-	678	187	241	275	99	70	102
TRINITY_DN16298_c0_g1	TRINITY_DN16298_c0_g1_i1	1	1526	-	1526	2	2	1424	6	3	2261
TRINITY_DN16284_c0_g1	TRINITY_DN16284_c0_g1_i1	1	318	-	318	8	10	16	0	0	8
TRINITY_DN16209_c0_g1	TRINITY_DN16209_c0_g1_i2	1	1685	-	1685	27	42	19	49	11	22
TRINITY_DN16281_c0_g1	TRINITY_DN16281_c0_g1_i1	1	376	-	376	17	4	40	0	9	0
TRINITY_DN16302_c0_g1	TRINITY_DN16302_c0_g1_i2	1	596	-	596	10	11	11	11	11	0
TRINITY_DN16245_c0_g1	TRINITY_DN16245_c0_g1_i4	1	613	-	613	2	180	15	8	85	1
TRINITY_DN16269_c0_g2	TRINITY_DN16269_c0_g2_i1	1	1041	-	1041	4893	8902	1017	12757	15159	1206
TRINITY_DN16287_c0_g1	TRINITY_DN16287_c0_g1_i4	1	1799	-	1799	673	123	754	693	64	236
TRINITY_DN16215_c0_g1	TRINITY_DN16215_c0_g1_i1	1	1808	-	1808	3	28	33	0	4	1
TRINITY_DN16247_c0_g1	TRINITY_DN16247_c0_g1_i8	1	758	-	758	69	11	16	20	2	9
TRINITY_DN16303_c0_g1	TRINITY_DN16303_c0_g1_i5	1	584	-	584	13	10	19	1	0	2
TRINITY_DN16275_c0_g1	TRINITY_DN16275_c0_g1_i1	1	326	-	326	5	5	9	11	2	3
TRINITY_DN16342_c0_g1	TRINITY_DN16342_c0_g1_i1	1	2657	-	2657	3069	1927	3541	1811	928	1578
TRINITY_DN16310_c0_g1	TRINITY_DN16310_c0_g1_i11	1	1407	-	1407	20	40	44	34	22	33
TRINITY_DN16356_c0_g1	TRINITY_DN16356_c0_g1_i5	1	471	-	471	26	12	36	5	0	4
TRINITY_DN16306_c0_g1	TRINITY_DN16306_c0_g1_i1	1	1337	-	1337	17	20	14	27	2	14
TRINITY_DN16404_c0_g1	TRINITY_DN16404_c0_g1_i6	1	1087	-	1087	8	32	33	8	11	6
TRINITY_DN16355_c0_g1	TRINITY_DN16355_c0_g1_i3	1	4546	-	4546	1	8	16	11	0	2
TRINITY_DN16355_c0_g2	TRINITY_DN16355_c0_g2_i1	1	433	-	433	1	0	0	2	0	1
TRINITY_DN16331_c0_g1	TRINITY_DN16331_c0_g1_i1	1	934	-	934	6	7	24	1	0	0
TRINITY_DN16383_c0_g1	TRINITY_DN16383_c0_g1_i8	1	2882	-	2882	213	49	29	180	24	17
TRINITY_DN16345_c0_g1	TRINITY_DN16345_c0_g1_i4	1	1706	-	1706	29	1	128	17	0	478
TRINITY_DN16345_c0_g2	TRINITY_DN16345_c0_g2_i3	1	616	-	616	5	7	7	7	5	1
TRINITY_DN16326_c0_g1	TRINITY_DN16326_c0_g1_i1	1	395	-	395	114	62	22	45	28	3
TRINITY_DN16358_c0_g1	TRINITY_DN16358_c0_g1_i3	1	473	-	473	0	0	0	0	0	0
TRINITY_DN16343_c0_g1	TRINITY_DN16343_c0_g1_i2	1	1958	-	1958	12	202	136	50	123	85
